,Code,Length,Gear,Species,Group,Ref,Absolute,Abs.l.95,Abs.u.95,Efficiency,Eff.l.95,Eff.u.95
1356,GRP3,23,GOV,GRP3,GRP3,no,NA,NA,NA,0.202823172,0.079520248,0.326126096
1357,GRP3,24,GOV,GRP3,GRP3,no,NA,NA,NA,0.203547057,0.080065882,0.327028232
1358,GRP3,25,GOV,GRP3,GRP3,Ref,0.157360024,NA,NA,0.202636812,0.07901346,0.326260164
1359,GRP3,26,GOV,GRP3,GRP3,no,NA,NA,NA,0.200247579,0.076580027,0.323915131
1360,GRP3,27,GOV,GRP3,GRP3,no,NA,NA,NA,0.1965345,0.0730054,0.320063599
1361,GRP3,28,GOV,GRP3,GRP3,no,NA,NA,NA,0.191656078,0.068526278,0.314785877
1362,GRP3,29,GOV,GRP3,GRP3,no,NA,NA,NA,0.185848158,0.06329735,0.308398965
1363,GRP3,30,GOV,GRP3,GRP3,Ref,0.11026786,NA,NA,0.179423926,0.057424532,0.30142332
1364,GRP3,31,GOV,GRP3,GRP3,no,NA,NA,NA,0.17269993,0.051081707,0.294318154
1365,GRP3,32,GOV,GRP3,GRP3,no,NA,NA,NA,0.16599272,0.044551662,0.287433779
1366,GRP3,33,GOV,GRP3,GRP3,no,NA,NA,NA,0.15961672,0.038223135,0.281010305
1367,GRP3,34,GOV,GRP3,GRP3,no,NA,NA,NA,0.153837514,0.032413137,0.27526189
1368,GRP3,35,GOV,GRP3,GRP3,Ref,0.081578998,NA,NA,0.148871841,0.027338712,0.270404969
